"" "gene.id" "p.value" "q.value" "log.fc"
"130" "YMR110C" 9.44270888001768e-78 4.75186165331351e-76 2.34189244262903
"131" "YHR137W" 2.67520281092672e-77 1.3359676938231e-75 5.15235462911411
"132" "YHR068W" 7.89598196315548e-77 3.913296515376e-75 -2.0113517714759
"133" "YPL123C" 1.18998406175275e-76 5.85329002405001e-75 2.54148957485974
"134" "YDR148C" 1.80262511657335e-76 8.80057724822602e-75 1.81376410306117
"135" "YDL130W-A" 2.98049828311577e-76 1.44432739023284e-74 2.58087241480989
"136" "YDL049C" 1.70156814640396e-75 8.18504324542255e-74 2.39383958531199
"137" "YER131W" 2.33086716449496e-75 1.11303160511869e-73 -1.76490425883675
"138" "YOR180C" 2.94032444861712e-75 1.39388424223574e-73 3.08923447564226
"139" "YJL103C" 3.34452933160286e-75 1.57409430844215e-73 2.42373334817104
"140" "YML018C" 5.10669240819849e-75 2.38628440960247e-73 -1.99611921661543
"141" "YKL093W" 6.22293191297699e-75 2.88726387054578e-73 2.84484161580006
"142" "YJL190C" 2.07152236147279e-74 9.54359104841902e-73 -1.74940774799415
"143" "YGR250C" 2.57199666490254e-73 1.17664350921625e-71 1.82426536491464
"144" "YDR223W" 1.08147420324377e-72 4.91319738723664e-71 2.90495823458937
"145" "YNR001C" 1.30618107223462e-72 5.89312867210959e-71 1.5987001696126
"146" "YBR222C" 2.04387323735391e-72 9.15823199915706e-71 1.98245216403619
"147" "YDL169C" 2.42445335713635e-72 1.07896420832558e-70 4.02756453390388
"148" "YKL001C" 2.63300824472353e-72 1.16386080655279e-70 -1.71516048942834
"149" "YBR072W" 3.66507519222554e-71 1.60918938976775e-69 7.46047905450324
"150" "YDR171W" 5.0467695667224e-71 2.20106443369986e-69 3.72870573445992
"151" "YBR299W" 3.28089193419901e-70 1.42143013467085e-68 4.83162711163765
"152" "YIL125W" 3.44612818822621e-70 1.48319543469578e-68 1.6490781674943
"153" "YDL199C" 1.20501029449602e-69 5.15240349450522e-68 2.80846358261571
"154" "YGR208W" 1.480418328794e-69 6.28889396556515e-68 -2.11988822355504
"155" "YJR148W" 1.56536836092145e-69 6.60686439816008e-68 2.18552216390682
"156" "YDL124W" 2.24723330118917e-69 9.42397452332021e-68 2.05878032946332
"157" "YKR076W" 2.37370350862244e-69 9.89093525694778e-68 4.10245504461182
"158" "YML120C" 4.01516404487685e-69 1.66248121402433e-67 1.65644723859996
"159" "YNL195C" 4.2329716518175e-69 1.74164154378554e-67 5.08439844907765
"160" "YGR130C" 2.52769470409725e-68 1.03351117213776e-66 1.66945307966957
"161" "YDR178W" 1.14028371495006e-67 4.63337643677225e-66 2.60262193578237
"162" "YLR372W" 6.62726277922864e-67 2.67626870998233e-65 -1.68938271465924
"163" "YPL135W" 9.88519290170313e-67 3.96741913883079e-65 1.82575446643237
"164" "YNL115C" 1.20562182687323e-66 4.80925487280774e-65 1.96931068643967
"165" "YKR049C" 3.14122739906848e-66 1.24544906937612e-64 2.85211134579561
"166" "YLR327C" 7.27348608595888e-66 2.86645457676765e-64 5.8077218407017
"167" "YBR084W" 2.37497568435639e-65 9.3036472617123e-64 -1.63944944075299
"168" "YJL066C" 7.47831566560221e-65 2.91209173121248e-63 2.19880447647054
"169" "YPL113C" 1.18366829523101e-64 4.58198697479367e-63 3.31309784226481
"170" "YGR256W" 2.32089794513279e-63 8.93136138650513e-62 5.91500454620792
"171" "YNR034W-A" 3.06259961404141e-63 1.17166822661163e-61 4.43522733429211
"172" "YGL253W" 7.2054539295141e-63 2.74058602365588e-61 -1.50684138528606
"173" "YKR067W" 7.6030181608152e-63 2.87508351491636e-61 1.76534249163966
"174" "YKR046C" 2.53757198206706e-62 9.54068730269122e-61 1.53721629664757
"175" "YMR031C" 2.70533114033711e-62 1.01133007543345e-60 1.60141072218413
"176" "YHR010W" 6.5471936674884e-62 2.43362164617666e-60 -1.53390203879295
"177" "YNL220W" 8.30126986042123e-62 3.06818686027546e-60 -1.51338318534694
"178" "YMR104C" 9.57311729714803e-62 3.51838951449115e-60 2.06371779917502
"179" "YKL163W" 1.10158655604539e-61 4.02602192717817e-60 5.20828497799733
"180" "YHR097C" 3.95147575203605e-61 1.43614190943444e-59 2.22807664178637
"181" "YER121W" 7.84531213079412e-61 2.83558187622404e-59 4.48520602205909
"182" "YGL123W" 8.84338788303542e-61 3.17876063356141e-59 -1.4290667425067
"183" "YPL230W" 9.16761080267905e-61 3.27729562137302e-59 3.7568507922992
"184" "YHR138C" 2.35022898980223e-60 8.35608589743816e-59 3.08058653325396
"185" "YHL016C" 4.85146675839401e-60 1.71558354234668e-58 2.61047358278134
"186" "YOR388C" 5.53368576265642e-60 1.94631033652141e-58 4.70480212651438
"187" "YDR144C" 1.92571196222289e-59 6.73690249030061e-58 -2.08822611725444
"188" "YLR258W" 3.14611704752552e-59 1.0947817938783e-57 1.91522204770664
"189" "YJL048C" 1.69926185594396e-58 5.88178363046847e-57 2.0047218125622
"190" "YPR138C" 1.82309544067655e-58 6.27720545942419e-57 1.78234488310204
"191" "YDR074W" 2.41239797147716e-58 8.26277881120607e-57 2.38100657617197
"192" "YHL032C" 4.11232315602733e-58 1.40118844201723e-56 2.81148222753894
"193" "YBR241C" 9.60613483535617e-58 3.25613130015026e-56 2.95624953149522
"194" "YOR184W" 1.23267366886145e-57 4.15677893901627e-56 -1.48916111023223
"195" "YPL090C" 1.24366032987993e-57 4.17232096311512e-56 -1.41202219415056
"196" "YMR136W" 1.40352866671126e-57 4.68463496817604e-56 1.60217644098651
"197" "YGR034W" 1.47171376809287e-57 4.88728501059064e-56 -1.56584412049077
"198" "YML026C" 2.20859698837397e-57 7.29729368582956e-56 -1.5080832552238
"199" "YDL014W" 2.66032419034972e-57 8.74564866998384e-56 -1.50804516608532
"200" "YBR117C" 1.16774385418838e-56 3.81969014705021e-55 5.24631099327924
"201" "YLL045C" 1.39755993264878e-56 4.54867516387479e-55 -1.44546337324557
"202" "YDL082W" 2.25228002723959e-56 7.2942653159413e-55 -1.51566528337725
"203" "YOR310C" 4.57568073368053e-56 1.47458637240089e-54 -1.57703260318911
"204" "YNL012W" 4.69827633062627e-56 1.50667273308613e-54 2.42373489753963
"205" "YMR011W" 4.90114174145573e-56 1.56406191573675e-54 1.96360121415958
"206" "YKL150W" 5.30764007809868e-56 1.68556220344279e-54 1.48049391804027
"207" "YIL094C" 6.37413826040929e-56 2.01447403379698e-54 -1.3995637140704
"208" "YKR058W" 1.83897801146523e-55 5.78393949567572e-54 2.13729479184378
"209" "YDR209C" 2.38307019889384e-55 7.45935179003037e-54 -2.23423291478164
"210" "YER102W" 2.82208369894394e-55 8.79146264690061e-54 -1.39884279104049
"211" "YOR142W" 5.24329156678721e-55 1.62566888293469e-53 1.51046366770689
"212" "YDL223C" 1.302246714335e-54 4.01853679489602e-53 3.64908299969515
"213" "YFR031C-A" 2.48592531831598e-54 7.63517532038644e-53 -1.37662116461284
"214" "YIL018W" 2.67252275552746e-54 8.16992704049563e-53 -1.36135456348012
"215" "YGL157W" 2.79199617901017e-54 8.49546000143467e-53 -2.86715721142719
"216" "YOR108W" 3.41701465145336e-54 1.03491249304666e-52 -1.57791923362712
"217" "YIL162W" 3.56511265463803e-54 1.07479110537521e-52 2.47542953508208
"218" "YAL005C" 6.43245013867479e-54 1.93032517464268e-52 1.76890347877612
"219" "YML128C" 9.01861067735488e-54 2.69405255941806e-52 4.979253078878
"220" "YHR008C" 1.10090897570817e-53 3.27370296321948e-52 1.4741463047927
"221" "YNR002C" 1.29376293234544e-53 3.82977244497913e-52 5.2382366614059
"222" "YGL225W" 2.00998774910772e-53 5.92312606065887e-52 -1.57705698917716
"223" "YOR270C" 2.15979079805914e-53 6.33603201834209e-52 -1.40316678566646
"224" "YLR197W" 3.30282556321188e-53 9.64602001541613e-52 -1.42204974413686
"225" "YPR192W" 4.87702529796546e-53 1.41802219996845e-51 3.84118926259924
"226" "YPL222W" 7.43469006350731e-53 2.15211249537455e-51 3.35410046357394
"227" "YPR102C" 8.16327149467155e-53 2.35260449859653e-51 -1.41238064563591
"228" "YDL078C" 9.79939067620876e-53 2.81173744753323e-51 1.4610693078823
"229" "YOL147C" 1.02025917017301e-52 2.91464431933269e-51 1.61812009359009
"230" "YDL039C" 1.11250075528802e-52 3.16433910482357e-51 -2.24920101048546
"231" "YOR369C" 1.51356050092334e-52 4.28645575629457e-51 -1.3507887988421
"232" "YOR393W" 1.65344722244782e-52 4.66243609019553e-51 4.52057805681444
"233" "YIL133C" 1.73365151093131e-52 4.86761724657195e-51 -1.41032440415566
"234" "YNL125C" 1.75488872635056e-52 4.90618890930999e-51 1.87578267944433
"235" "YKL182W" 1.85475273173904e-52 5.16331590256885e-51 1.29152102403738
"236" "YMR053C" 1.9901130928035e-52 5.51666095471207e-51 2.43143729011232
"237" "YFL031W" 3.42543363045767e-52 9.45535308457977e-51 -1.56691018827583
"238" "YKL120W" 7.0017654854491e-52 1.92460293301714e-50 -1.56158296615843
"239" "YAL012W" 9.91772088231697e-52 2.71471673690869e-50 -1.45307480457352
"240" "YDR018C" 1.00157055488623e-51 2.73011440419404e-50 4.73797256710609
"241" "YOR063W" 1.01904351137001e-51 2.76621686779362e-50 -1.29014227987976
"242" "YLR413W" 1.91015527169745e-51 5.16373379646476e-50 -2.09256943364636
"243" "YMR152W" 2.16368232914056e-51 5.8250246079167e-50 1.71919357159499
"244" "YHL015W" 2.80509885213002e-51 7.52088388960434e-50 -1.35615772239576
"245" "YKL056C" 3.6036045137295e-51 9.62235948115037e-50 -1.34083169412677
"246" "YNL066W" 4.58683979870001e-51 1.21980105541038e-49 -1.62243622742581
"247" "YNL036W" 4.8486251574332e-51 1.28419861457198e-49 3.12380863198694
"248" "YPL134C" 8.00917479606497e-51 2.11274280305875e-49 2.94168999569909
"249" "YDR447C" 1.1316556694309e-50 2.97320939334014e-49 -1.37904139913038
"250" "YBL087C" 1.14888549450844e-50 3.00640356202969e-49 -1.58816631034495
"251" "YLR178C" 1.45043782296161e-50 3.78038415849198e-49 3.2412415982379
"252" "YOR040W" 1.69688474737323e-50 4.40516667353795e-49 2.2983547317983
"253" "YNL302C" 2.18162649769625e-50 5.64118598732367e-49 -1.37567556974117
"254" "YHR208W" 2.25733860312506e-50 5.81397997702524e-49 -1.43193812115038
"255" "YJR143C" 2.99478218263594e-50 7.68308432894287e-49 -1.43792095225323
"256" "YML063W" 3.28477510784629e-50 8.39414013887907e-49 -1.28593482077646
"257" "YGL135W" 3.60121936624344e-50 9.16699497819634e-49 -1.33196467337651
"258" "YKL142W" 4.15045017693649e-50 1.05241259912862e-48 1.69518081999359
"259" "YDR313C" 4.47826691572862e-50 1.13115143485315e-48 2.13663513112413
"260" "YOR230W" 7.06093171507988e-50 1.77663904923279e-48 1.35256540006188
"261" "YHR087W" 8.48429133054418e-50 2.12659899940307e-48 3.36585543210812
"262" "YNL069C" 1.02104266624989e-49 2.5494889780942e-48 -1.34221181411137
"263" "YBL039C" 1.65317933795683e-49 4.11220503000516e-48 -1.48332378122926
"264" "YNL014W" 2.49658486990666e-49 6.18661296171567e-48 4.6272987860777
"265" "YDR516C" 3.15032726732151e-49 7.77714754068577e-48 1.75896470611991
"266" "YLR151C" 3.33129844985561e-49 8.19299039810354e-48 2.25844632090548
"267" "YOR096W" 3.57945195055108e-49 8.77032758820419e-48 -1.33374335575792
"268" "YGR148C" 3.97470776677632e-49 9.70243963069056e-48 -1.35184604123929
"269" "YMR297W" 8.64729687563528e-49 2.10299688328647e-47 1.31556441171541
"270" "YLR293C" 8.96735222438591e-49 2.17275623155306e-47 -1.39684495276849
"271" "YAL023C" 9.76136658772918e-49 2.35641550615957e-47 -1.36625838080084
"272" "YMR114C" 1.02430026653545e-48 2.4635927734099e-47 2.0390581501232
"273" "YBR053C" 1.19183406752267e-48 2.85603606949939e-47 1.82933131664934
"274" "YIL055C" 1.25004664435117e-48 2.98460041873918e-47 2.27468108521595
"275" "YBR126C" 1.29101037243543e-48 3.07119631144457e-47 1.39935963753805
"276" "YMR250W" 1.72150681373232e-48 4.08047013602785e-47 3.53244255200756
"277" "YLR448W" 1.97293770480203e-48 4.65955179235194e-47 -1.39841656449972
"278" "YDR085C" 2.42737552314611e-48 5.71219088936038e-47 2.05248006121456
"279" "YMR304W" 2.59713077003794e-48 6.08975967655492e-47 1.50876837645192
"280" "YMR116C" 3.86576605790957e-48 9.03208626815871e-47 -1.27969901161559
"281" "YLR359W" 4.44991436526836e-48 1.03599073941586e-46 -1.78195545028956
"282" "YJR009C" 4.48748901693143e-48 1.04103379960161e-46 -1.82015151069836
"283" "YGL096W" 4.79218016191685e-48 1.10778949184664e-46 2.5521607918514
"284" "YOR100C" 6.47897941759607e-48 1.49244659682794e-46 3.54691768722593
"285" "YLR307C-A" 8.57561517523195e-48 1.96847980618833e-46 8.12965803753187
"286" "YKL006W" 1.00130484275e-47 2.29039730114353e-46 -1.43347620002376
"287" "YPL263C" 1.05900164234131e-47 2.41393336034734e-46 -1.60176438946006
"288" "YHR143W" 1.76658072376929e-47 4.01283718572872e-46 -1.4250002430839
"289" "YBR026C" 1.97616234447741e-47 4.47337510642603e-46 4.37677899900186
"290" "YHR160C" 2.23525487578492e-47 5.04242668875344e-46 2.92837596069279
"291" "YBR001C" 2.72420410695659e-47 6.12431040127491e-46 1.85753057357741
"292" "YDR277C" 2.73488140385731e-47 6.12725826850497e-46 1.88788340612456
"293" "YOR084W" 2.81198350590038e-47 6.27849696095572e-46 1.77433711347862
"294" "YDR077W" 3.63179384867095e-47 8.08135896530794e-46 2.68366632141035
"295" "YGL076C" 4.83969401963079e-47 1.07326367038728e-45 -1.31209730458556
"296" "YER081W" 4.96236259661301e-47 1.09674919280548e-45 -1.34170418920343
"297" "YDR059C" 5.14843619463947e-47 1.13404274698085e-45 2.7251316710259
"298" "YJR145C" 5.9464177058697e-47 1.30541827623488e-45 -1.26120333586005
"299" "YLR179C" 7.70320105948881e-47 1.68542947595906e-45 -1.88297493488826
"300" "YPL223C" 1.08119954313691e-46 2.35773580373389e-45 8.68506345849663
"301" "YGR070W" 1.40886355250769e-46 3.06205493704495e-45 2.1241850844116
"302" "YLR060W" 1.60475658476294e-46 3.47626409851629e-45 -1.3594397049266
"303" "YOL064C" 1.98082287298379e-46 4.276746942264e-45 -1.37151204328948
"304" "YAL034C" 2.39082060794309e-46 5.14498303196174e-45 1.94342599316581
"305" "YGL012W" 2.52934214546266e-46 5.42523157889073e-45 -1.33812064753014
"306" "YGL227W" 2.77865129733023e-46 5.94050221801776e-45 1.66420494514055
"307" "YDR032C" 3.02674228301843e-46 6.44982020049074e-45 1.45595659585118
"308" "YDL229W" 3.31599886666749e-46 7.04326772264244e-45 -1.49659846452348
"309" "YGR085C" 3.49743141507084e-46 7.40459427747361e-45 -1.30757187971835
"310" "YLR048W" 4.39865145736116e-46 9.28257349485701e-45 -1.38577239908757
"311" "YOR285W" 4.56559440605993e-46 9.60389665737752e-45 1.75687716591388
"312" "YMR242C" 4.67750181573051e-46 9.80776182003493e-45 -1.3128037829668
"313" "YFR015C" 8.65814326901199e-46 1.80963492862225e-44 2.08934143610696
"314" "YBR189W" 9.50189296185187e-46 1.97966190307118e-44 -1.41938995871234
"315" "YER004W" 1.03528284961982e-45 2.15010171498821e-44 1.37482275163439
"316" "YPL156C" 1.15671962084692e-45 2.39470245556346e-44 2.93278493882623
"317" "YLR152C" 1.46446699821074e-45 3.02225334457245e-44 1.78994761122234
"318" "YGL008C" 1.51052701068727e-45 3.10750556726922e-44 -1.16946778133649
"319" "YLR167W" 1.84820587191593e-45 3.79027047463136e-44 -1.22940502249571
"320" "YER055C" 2.12394806685362e-45 4.34214632917387e-44 -1.27937892061411
"321" "YNL173C" 2.19011068481616e-45 4.46345922120478e-44 1.45573436977198
"322" "YBR191W" 3.27399064675313e-45 6.65169155622949e-44 -1.29236553947602
"323" "YHR089C" 3.76711562383092e-45 7.62986700034113e-44 -1.47729386711929
"324" "YOR128C" 4.54498202069562e-45 9.17693591956505e-44 -1.289757545531
"325" "YOL153C" 6.86427223542328e-45 1.38172519889659e-43 2.00833139415614
"326" "YNL178W" 7.43977078209851e-45 1.49297486062848e-43 -1.21658063784524
"327" "YLR452C" 7.50806094887202e-45 1.50207139839513e-43 -1.70692214931692
"328" "YPL109C" 9.40551981356852e-45 1.87594239696236e-43 2.07603652718113
"329" "YHR141C" 9.56374259761021e-45 1.90170225147617e-43 -1.31049715366244
"330" "YDR450W" 1.27683354630882e-44 2.53122577574311e-43 -1.32654284239547
"331" "YML056C" 1.28223329600417e-44 2.53425082249526e-43 -2.31978493366401
"332" "YER117W" 1.53896220136446e-44 3.03249720521877e-43 -1.30596133026769
"333" "YBR181C" 1.80246092297829e-44 3.54105085829549e-43 -1.24009591295527
"334" "YOL101C" 3.91367741175102e-44 7.66565198433388e-43 3.7161422988536
"335" "YOR051C" 3.98040687419348e-44 7.77308112566381e-43 -1.70673416198678
"336" "YDR513W" 4.33764110898755e-44 8.44549051636802e-43 1.71742252572452
"337" "YML100W" 5.85797547060401e-44 1.13717731539144e-42 2.94826730263542
"338" "YDR050C" 6.23243647922379e-44 1.20628992446988e-42 -1.19565041723635
"339" "YGR143W" 6.56190010125231e-44 1.2641198558683e-42 1.57490405037064
"340" "YIL052C" 6.56986779265089e-44 1.2641198558683e-42 -1.40647567988694
"341" "YLR029C" 6.84745049855048e-44 1.31366630972191e-42 -1.21150417552319
"342" "YDR471W" 7.9366740267513e-44 1.5181789907312e-42 -1.36781228127917
