"" "gene.id" "p.value" "q.value" "log.fc" "test.stat....voomTTbl.t"
"98" "YOR388C" 1.01194798440101e-12 6.68703405449636e-11 4.72327715078519 25.9728132633256
"99" "YBR222C" 9.85817971744898e-13 6.64868161974755e-11 1.99748231553539 26.0252759455661
"100" "YNL202W" 1.06620726020672e-12 6.90606722403207e-11 4.31801618524411 25.8683749959064
"101" "YGR256W" 1.18995725474422e-12 7.55796151508419e-11 5.94606499102967 25.6501221092492
"102" "YEL071W" 1.03267208558866e-12 6.75574078392098e-11 -2.04120243829906 -25.9322288991393
"103" "YHR068W" 1.17779482571608e-12 7.55405269591625e-11 -1.99260906296255 -25.6704657775019
"104" "YMR081C" 1.2418840875937e-12 7.81192855869035e-11 4.53187015161684 25.5657092025642
"105" "YDL110C" 1.36773352994753e-12 8.37352706991785e-11 2.51900956093522 25.3759288675942
"106" "YML018C" 1.25794398317748e-12 7.83759003614007e-11 -1.97347320562321 -25.5403679647062
"107" "YKL163W" 1.53334384975931e-12 9.20287657350952e-11 5.20506834204047 25.1529626951073
"108" "YLR312C" 1.36956190229473e-12 8.37352706991785e-11 5.46490647384253 25.3733118739159
"109" "YAR035W" 1.61454535591196e-12 9.51563578232073e-11 2.90354567423866 25.0529161009909
"110" "YPL054W" 1.70406309419059e-12 9.77893049315339e-11 4.52051197154539 24.9487042062242
"111" "YPR138C" 1.56270019795284e-12 9.29380426818861e-11 1.79540317167057 25.116150186769
"112" "YIL125W" 1.45886365590046e-12 8.83693151564889e-11 1.66371820665868 25.249865335896
"113" "YMR105C" 1.76334085776713e-12 9.94463438923499e-11 3.33542632086523 24.8828828532148
"114" "YAL061W" 1.97856760873e-12 1.08771338624468e-10 3.04768410470546 24.6624313220818
"115" "YKR067W" 1.6995040897664e-12 9.77893049315339e-11 1.77972468050819 24.9538679836406
"116" "YGR130C" 1.65956508834321e-12 9.69363822137615e-11 1.68289185833027 24.9997515344233
"117" "YAL005C" 1.740862038017e-12 9.90323430670191e-11 1.78074691869368 24.9075593071455
"118" "YBR299W" 2.42024662952581e-12 1.27687527825467e-10 4.84144250609604 24.2812189494165
"119" "YEL060C" 2.06116475232378e-12 1.12367831747518e-10 2.42379655471394 24.5845942045193
"120" "YCR010C" 1.87108242457288e-12 1.03734078148778e-10 6.96460761183731 24.7691188400198
"121" "YLR372W" 2.20642386016377e-12 1.19292767712326e-10 -1.67700854836095 -24.4555061068393
"122" "YNL200C" 2.95913322419893e-12 1.47146967371125e-10 3.07486195475511 23.9065300611482
"123" "YGL121C" 1.79369346244383e-12 1.00293526763312e-10 5.59816625900267 24.8500937926504
"124" "YKR046C" 2.33877322720652e-12 1.25411921740861e-10 1.55274941587075 24.3456020890151
"125" "YML056C" 2.74679187110134e-12 1.41492223785393e-10 -2.29581947435749 -24.0446684448527
"126" "YLR359W" 2.40918251607116e-12 1.27687527825467e-10 -1.76310100201156 -24.2898244291035
"127" "YIR038C" 2.96005866967621e-12 1.47146967371125e-10 2.93031206923873 23.9059515797048
"128" "YDL078C" 2.50468110281540e-12 1.31084990196947e-10 1.4760392897595 24.2169072487803
"129" "YPL135W" 2.65982174368806e-12 1.38099633707995e-10 1.84086796532021 24.104592862939
"130" "YLR345W" 2.91364032405421e-12 1.47146967371125e-10 2.41534172692119 23.9352090943
"131" "YLR284C" 3.32185603321248e-12 1.62175986337881e-10 3.3093154585629 23.6935314467697
"132" "YPL134C" 3.20422920419284e-12 1.57609529728042e-10 2.93232959088837 23.7597478212437
"133" "YOL086C" 2.82188576645701e-12 1.44224817845014e-10 -1.66392108288028 -23.9945441614646
"134" "YBR084W" 2.96903083047821e-12 1.47146967371125e-10 -1.62257926253827 -23.9003532736382
"135" "YNL194C" 4.03613459911698e-12 1.89959658614556e-10 3.51513093087533 23.3388540790715
"136" "YJR148W" 3.9124947966753e-12 1.8682876613029e-10 2.20432605384555 23.3951686383536
"137" "YJL190C" 3.46492367332105e-12 1.6790763459901e-10 -1.73181150159892 -23.6163081647151
"138" "YHR010W" 3.65088317977433e-12 1.7561821883885e-10 -1.51985342133929 -23.5209011913315
"139" "YPL123C" 5.06532984154066e-12 2.25424406961626e-10 2.55994880335004 22.931641367801
"140" "YBR054W" 4.6915768478767e-12 2.13140942630621e-10 5.07772367753892 23.0682994990682
"141" "YDL014W" 3.974944025371e-12 1.88435389956356e-10 -1.49032035822881 -23.3664895508357
"142" "YFL026W" 4.17181610695912e-12 1.94943006940904e-10 -2.45104138826489 -23.279148731043
"143" "YNL173C" 4.20859094210397e-12 1.9526668044854e-10 1.47204942670241 23.2633252009501
"144" "YDR343C" 4.52076830355614e-12 2.07232924242755e-10 4.94086910805387 23.134699299877
"145" "YFR017C" 4.94328303765979e-12 2.21499709810756e-10 4.22469020049163 22.9750408162729
"146" "YMR031C" 4.5298545042363e-12 2.07232924242755e-10 1.61383268957489 23.1310997744342
"147" "YMR250W" 6.21429646355911e-12 2.58942213150342e-10 3.57555421311766 22.5709294625405
"148" "YNR001C" 4.79803983287462e-12 2.1647432128735e-10 1.61647204230638 23.0282138311968
"149" "YKR058W" 6.40263003136063e-12 2.63433997894096e-10 2.14322488069996 22.5187043516144
"150" "YMR196W" 5.77938435762601e-12 2.45511249789541e-10 3.30867348630386 22.6983258094988
"151" "YKL001C" 5.19611981580093e-12 2.26620105566464e-10 -1.70014544147349 -22.8863622413591
"152" "YOR184W" 5.17570120098433e-12 2.26620105566464e-10 -1.47098496802213 -22.8933499415856
"153" "YML026C" 5.3934395269534e-12 2.33668088644564e-10 -1.49030295333362 -22.8203167027167
"154" "YOR310C" 5.65856526196157e-12 2.43541670682583e-10 -1.55734770627718 -22.7355499596875
"155" "YHL016C" 7.7377091645574e-12 3.03114331464278e-10 2.61286892057069 22.1900794128614
"156" "YGR034W" 5.74927704309069e-12 2.45511249789541e-10 -1.54820539741885 -22.7075231006479
"157" "YKL081W" 6.03083815851451e-12 2.54540278922593e-10 -1.71443592704067 -22.6234633582702
"158" "YDR178W" 7.62258015105148e-12 3.00403128603487e-10 2.62911233768053 22.2159228154017
"159" "YOR142W" 6.14847876899627e-12 2.57841975043421e-10 1.52443848581593 22.5895826851585
"160" "YIL133C" 6.25718868786647e-12 2.59079293645712e-10 -1.39306013569149 -22.558887318317
"161" "YPR151C" 8.47420540807782e-12 3.22315417323518e-10 3.88043279718912 22.0339468000898
"162" "YJL103C" 8.63535690297974e-12 3.24669568156859e-10 2.459494686703 22.0017282608761
"163" "YDR342C" 7.39491037298974e-12 2.96794500982202e-10 4.85599301152772 22.2682858008676
"164" "YKL029C" 7.11648792862805e-12 2.87383111290646e-10 -2.08823775740183 -22.3347264047547
"165" "YGL234W" 7.02105664076211e-12 2.87073453399161e-10 -1.7737550963378 -22.358143925108
"166" "YNL220W" 7.07604851437642e-12 2.87383111290646e-10 -1.4948735873727 -22.3446082563691
"167" "YOR180C" 1.01016003119559e-11 3.61118411151999e-10 3.09732107259897 21.7352388438811
"168" "YMR280C" 9.67197187158889e-12 3.51522444355192e-10 2.89712106853278 21.8087818221949
"169" "YKL006W" 7.50278590298414e-12 2.99287959617819e-10 -1.41717877990853 -22.2432622718027
"170" "YKL093W" 1.03466307315942e-11 3.65879233762644e-10 2.84671077956395 21.6947840958148
"171" "YMR120C" 7.60754033849487e-12 3.00403128603487e-10 -2.14345918975982 -22.2193297791258
"172" "YBR241C" 9.87508376981937e-12 3.54960428693178e-10 3.00521627053002 21.7735854521071
"173" "YDL204W" 1.02376993550773e-11 3.63994723809326e-10 4.4654213137711 21.7126403475351
"174" "YNL115C" 8.39968469927705e-12 3.22315417323518e-10 1.98294106681573 22.0490686798623
"175" "YER065C" 9.02113806527634e-12 3.33425340243151e-10 4.21275255830955 21.9271519892446
"176" "YER102W" 8.17550879418819e-12 3.18358205545114e-10 -1.38163901988233 -22.0954425621117
"177" "YLR058C" 8.33422858031608e-12 3.22315417323518e-10 -2.09840267495707 -22.062470482335
"178" "YJR143C" 8.54011495587015e-12 3.22944693880361e-10 -1.42154085788532 -22.0206908381167
"179" "YGL253W" 8.47088940314588e-12 3.22315417323518e-10 -1.48896686212186 -22.0346166492415
"180" "YOR108W" 8.86417290874261e-12 3.29485336187467e-10 -1.55954959480011 -21.9570741894462
"181" "YKL142W" 9.6429126195452e-12 3.51522444355192e-10 1.71034453795944 21.813882196916
"182" "YJL048C" 9.08578213062321e-12 3.3392801516032e-10 2.03031542414513 21.9149910903732
"183" "YPR102C" 8.80602365590927e-12 3.29194324325477e-10 -1.39539011364533 -21.9683038544611
"184" "YPL113C" 1.25477025397183e-11 4.16420304129596e-10 3.31960971223581 21.3718123310148
"185" "YMR104C" 1.12276689028585e-11 3.90698989162235e-10 2.09708720699616 21.557382547672
"186" "YBL043W" 1.32614329799624e-11 4.25275953700558e-10 3.42112684747252 21.2800194107982
"187" "YPL230W" 1.36945980117048e-11 4.34903204818313e-10 3.78167908490425 21.226860937106
"188" "YER091C" 9.82183720059281e-12 3.54960428693178e-10 -1.6877743099097 -21.7827366120419
"189" "YLR178C" 1.35269376954269e-11 4.3167427513894e-10 3.26776084552955 21.2472193311824
"190" "YEL041W" 1.31308316390331e-11 4.23162071835244e-10 4.28338634035147 21.2964134081787
"191" "YJL066C" 1.27774830459205e-11 4.17300973530668e-10 2.2192853005354 21.3416611099892
"192" "YHR138C" 1.44735418404155e-11 4.46631654339615e-10 3.09986330609632 21.1356604633437
"193" "YPL090C" 1.06402039582313e-11 3.74237711262091e-10 -1.39620632020742 -21.6476483800617
"194" "YLR438W" 1.52689925469218e-11 4.68965958882453e-10 3.27088578724997 21.0478115658955
"195" "YGL123W" 1.11143094171881e-11 3.8882252517243e-10 -1.41211095263544 -21.5743996235695
"196" "YOR040W" 1.55688940151989e-11 4.7372885882526e-10 2.31134492869436 21.0159594705654
"197" "YHR141C" 1.1311095815896e-11 3.91519517606305e-10 -1.29471701724828 -21.5449762575992
"198" "YGL225W" 1.18677201968066e-11 4.04367841289108e-10 -1.55688645354614 -21.4646364535339
"199" "YNL302C" 1.15982422067719e-11 3.99345792193167e-10 -1.35990079653172 -21.5030141315521
"200" "YBL087C" 1.23944814032679e-11 4.16420304129596e-10 -1.56662325159283 -21.3922489593864
"201" "YGL135W" 1.16979274802587e-11 4.00669327622264e-10 -1.31542567036561 -21.4887069361852
"202" "YML116W" 1.23805139045298e-11 4.16420304129596e-10 -1.8611046423459 -21.3941254197949
"203" "YLL028W" 1.41734025712436e-11 4.45780767409019e-10 -2.35212450244615 -21.1701628149082
"204" "YKL056C" 1.24681778653402e-11 4.16420304129596e-10 -1.32432331350209 -21.382385672091
"205" "YDR447C" 1.26033659764078e-11 4.16420304129596e-10 -1.36188725146433 -21.3644542202211
"206" "YOR285W" 1.25892901848618e-11 4.16420304129596e-10 1.77187259473072 21.3663115883176
"207" "YOR270C" 1.27303200301587e-11 4.17300973530668e-10 -1.3859241241151 -21.3478019832438
"208" "YIL094C" 1.2821384237185e-11 4.17300973530668e-10 -1.38463026449189 -21.3359667749394
"209" "YFR053C" 1.64014900488974e-11 4.90304335678157e-10 5.64074303691947 20.930870931381
"210" "YOR230W" 1.29142261433407e-11 4.18241917968984e-10 1.36913582592557 21.3239930820919
"211" "YMR304W" 1.4252871516573e-11 4.46135337135984e-10 1.52192068376639 21.160951689581
"212" "YML120C" 1.39359284901669e-11 4.40429198950107e-10 1.67852587548421 21.1980220963795
"213" "YFL014W" 2.00148112689916e-11 5.61960924127652e-10 6.36804857601208 20.6086775769832
"214" "YDL199C" 2.07465983133945e-11 5.75102737992486e-10 2.83251969930901 20.55106758422
"215" "YMR242C" 1.44173081412812e-11 4.46631654339615e-10 -1.29583143124289 -21.1420659504459
"216" "YOL147C" 1.62695855064266e-11 4.90304335678157e-10 1.63458088519887 20.9440377500817
"217" "YMR300C" 1.55230729577682e-11 4.7372885882526e-10 -1.7862207040556 -21.0207832070661
"218" "YNL195C" 2.28150795718566e-11 6.12901321320484e-10 5.07189797274637 20.3993280317696
"219" "YDL082W" 1.64134285407393e-11 4.90304335678157e-10 -1.49730446034779 -20.9296848360873
"220" "YHR208W" 1.62787669747543e-11 4.90304335678157e-10 -1.41319255922699 -20.9431175433629
"221" "YNL125C" 1.95626954267026e-11 5.55285777970854e-10 1.882933287332 20.6454120955487
"222" "YIL052C" 1.70503233480366e-11 5.06875191598992e-10 -1.38928331913538 -20.8677169320694
"223" "YNR002C" 2.4260019434783e-11 6.39955835251414e-10 5.33056122045781 20.3018466292751
"224" "YJL141C" 1.87174528809184e-11 5.3942544822453e-10 1.7106132777037 20.7165995289285
"225" "YML063W" 1.7200595006875e-11 5.06875191598992e-10 -1.26951682265578 -20.853458232945
"226" "YGR085C" 1.71503494281858e-11 5.06875191598992e-10 -1.29129022507706 -20.8582109091231
"227" "YOL153C" 2.31542612556836e-11 6.18266029121151e-10 2.01804112550733 20.3758618125678
"228" "YDR144C" 2.24303302179407e-11 6.0887643272103e-10 -2.07164482339625 -20.4264045048353
"229" "YLL045C" 1.79764011709745e-11 5.27361508791549e-10 -1.42847190879847 -20.7819111547285
"230" "YLR197W" 1.81055430251103e-11 5.28778850313713e-10 -1.40356173674897 -20.7703237485767
"231" "YOR369C" 1.8321079836969e-11 5.32695574637561e-10 -1.33542236370065 -20.7511806877662
"232" "YFR031C-A" 1.86326853324004e-11 5.39358528515766e-10 -1.36042754460375 -20.7239284700724
"233" "YGR243W" 2.81304178083686e-11 7.02857191861101e-10 5.19572690617043 20.0686715652289
"234" "YBL039C" 1.98537514280696e-11 5.59841559665653e-10 -1.46393379408291 -20.6216606422214
"235" "YBR189W" 1.94534265787745e-11 5.55285777970854e-10 -1.40087572378695 -20.6544270184394
"236" "YDL229W" 1.96073088827984e-11 5.55285777970854e-10 -1.47903598411608 -20.6417469166977
"237" "YKL085W" 2.0670446950358e-11 5.75102737992486e-10 1.3004983712763 20.5569600860088
"238" "YMR297W" 2.05824351729161e-11 5.75102737992486e-10 1.33177185614643 20.563799434087
"239" "YER081W" 2.09468660199931e-11 5.78204208872551e-10 -1.32554829266155 -20.535681263313
"240" "YMR152W" 2.36685719909631e-11 6.26881773137168e-10 1.73507390680979 20.3409742812538
"241" "YJL089W" 3.0412643635292e-11 7.42386248739106e-10 3.45169155981438 19.9468054364769
"242" "YOR084W" 2.51918058226087e-11 6.56592803551817e-10 1.7829134872222 20.242235088921
"243" "YKL120W" 2.22342172951671e-11 6.0860355458152e-10 -1.54143033125831 -20.4403983170731
"244" "YDR258C" 2.17561380567728e-11 5.98019559526923e-10 1.66245511166149 20.4750749413394
"245" "YMR136W" 2.26155332402843e-11 6.11367018421239e-10 1.62338463587274 20.4133092461445
"246" "YGR250C" 2.28596640785995e-11 6.12901321320484e-10 1.85094657205745 20.3962221600656
"247" "YIL053W" 2.24089557831201e-11 6.0887643272103e-10 -1.69997514280872 -20.4279233061575
"248" "YER117W" 2.34857274101469e-11 6.24567596411304e-10 -1.29145598080707 -20.3532832284502
"249" "YGL227W" 2.72768319276719e-11 6.94656107292818e-10 1.67737972375454 20.1170029890633
"250" "YJR095W" 5.12119624695752e-12 2.2637071518646e-10 9.15605338641674 22.9121487108564
"251" "YHR143W" 2.45940443871035e-11 6.4558032156767e-10 -1.41390189977613 -20.2801988670755
"252" "YDR074W" 2.53430812341927e-11 6.57914434262256e-10 2.41489704439199 20.232780859749
"253" "YIL055C" 3.21982315453645e-11 7.79595350719363e-10 2.30423333443831 19.8581152919455
"254" "YOR096W" 2.4670602322213e-11 6.4558032156767e-10 -1.3190946375239 -20.2752816955632
"255" "YGR110W" 3.43798054915581e-11 8.11959160742864e-10 1.99922417874152 19.7566619127459
"256" "YDR171W" 2.80981546280755e-11 7.02857191861101e-10 3.83482892063683 20.0704695727692
"257" "YML054C" 2.70619842909753e-11 6.94272553849258e-10 3.64790843714869 20.1294239390305
"258" "YBR291C" 2.72893029003751e-11 6.94656107292818e-10 -1.40752475081042 -20.1162852346864
"259" "YLR448W" 2.65342623926887e-11 6.83413955011692e-10 -1.38085828907938 -20.1603879517671
"260" "YNL069C" 2.61519695160503e-11 6.76229978553364e-10 -1.32492265116933 -20.1832347222291
"261" "YBR001C" 3.30573478253523e-11 7.86404252630745e-10 1.87692124375739 19.8173062699802
"262" "YDR032C" 2.76711855304983e-11 7.01646882715192e-10 1.47438596250602 20.0944752139473
"263" "YDL130W-A" 3.69084142774515e-11 8.45912217925866e-10 2.63453124518661 19.6473813370942
"264" "YDR513W" 3.05979831475308e-11 7.44133850376009e-10 1.73358052158229 19.9373430147671
"265" "YIL042C" 3.61510719378131e-11 8.38653590841039e-10 1.90746748626529 19.6792473214086
"266" "YEL020C" 3.5899805844997e-11 8.35788362412705e-10 1.88083698600912 19.6899781642047
"267" "YKL182W" 2.81135418369705e-11 7.02857191861101e-10 1.3058568221646 20.0696117766396
"268" "YLR293C" 2.81486677266292e-11 7.02857191861101e-10 -1.37933057575096 -20.0676554882675
"269" "YER049W" 2.94739428330638e-11 7.3037323490115e-10 -1.58744132970976 -19.9957008863255
"270" "YLR180W" 2.87531370829741e-11 7.15220618999303e-10 -2.22462786021448 -20.034395037154
"271" "YAL034C" 3.78643123992582e-11 8.63095232459747e-10 1.96278689924442 19.6081484045882
"272" "YJR061W" 3.39335162439069e-11 8.04322692998691e-10 1.5508804839177 19.7768433644685
"273" "YJR009C" 2.97240615459423e-11 7.31033122682535e-10 -1.80978030703566 -19.9825109711659
"274" "YOL064C" 3.0071043079685e-11 7.36796868267039e-10 -1.3530723283555 -19.9644089890794
"275" "YPL220W" 2.9682710484682e-11 7.31033122682535e-10 -1.19149959722866 -19.9846833648303
"276" "YPL201C" 1.88150077437542e-11 5.39858687103685e-10 7.59272049277707 20.708208980622
"277" "YDL222C" 4.58894900509903e-11 1.00168310224565e-09 5.08272159704027 19.3155450007168
"278" "YMR169C" 4.36547023211054e-11 9.747066982412e-10 3.67752954314841 19.391143931394
"279" "YBR212W" 3.22944573593622e-11 7.79595350719363e-10 1.36395631952761 19.8534866853737
"280" "YMR053C" 4.70178275133325e-11 1.01851201189477e-09 2.43858864059546 19.2788627399095
"281" "YER004W" 3.28354124858713e-11 7.85762407640815e-10 1.38776991188367 19.8277384442554
